subject,rt,sex,native_language,answer,frequency,class
A1,6.340359,F,English,correct,4.859812,animal
A1,6.308098,F,English,correct,4.60517,animal
A1,6.349139,F,English,correct,4.997212,plant
A1,6.186209,F,English,correct,4.727388,plant
A1,6.025866,F,English,correct,7.667626,animal
A1,6.180017,F,English,correct,4.060443,plant
A1,6.035481,F,English,correct,4.75359,plant
A1,6.263398,F,English,correct,4.70953,animal
A1,6.459904,F,English,correct,3.044522,plant
A1,6.184149,F,English,correct,4.204693,plant
A1,6.137727,F,English,correct,5.298317,animal
A1,6.242223,F,English,correct,4.043051,animal
A1,6.003887,F,English,correct,2.484907,plant
A1,6.035481,F,English,correct,5.631212,plant
A1,6.322565,F,English,correct,5.700444,animal
A1,5.988961,F,English,correct,6.228511,animal
A1,6.285998,F,English,correct,1.791759,plant
A1,6.381816,F,English,correct,5.545177,plant
A1,5.958425,F,English,correct,4.59512,plant
A1,6.124683,F,English,incorrect,5.918894,animal
A1,6.741701,F,English,correct,4.442651,plant
A1,6.821107,F,English,correct,2.995732,animal
A1,6.40688,F,English,correct,3.044522,animal
A1,6.421622,F,English,correct,5.267858,animal
A1,6.320768,F,English,correct,3.970292,animal
A1,6.20859,F,English,correct,4.976734,plant
A1,6.214608,F,English,correct,4.615121,animal
A1,7.114769,F,English,correct,4.624973,animal
A1,6.09131,F,English,correct,4.844187,animal
A1,6.20859,F,English,correct,5.192957,plant
A1,6.36647,F,English,correct,5.652489,animal
A1,6.582025,F,English,correct,6.461468,plant
A1,6.514713,F,English,correct,5.129899,animal
A1,6.352629,F,English,correct,3.555348,plant
A1,6.278521,F,English,correct,3.663562,plant
A1,5.988961,F,English,correct,5.805135,animal
A1,6.079933,F,English,correct,4.007333,animal
A1,6.126869,F,English,correct,3.988984,plant
A1,6.284134,F,English,correct,4.812184,plant
A1,6.089045,F,English,correct,6.577861,animal
A1,6.383507,F,English,correct,4.454347,plant
A1,6.22059,F,English,correct,2.079442,plant
A1,6.381816,F,English,correct,4.418841,animal
A1,6.202536,F,English,correct,6.660575,animal
A1,6.356108,F,English,correct,6.109248,animal
A1,6.107023,F,English,correct,5.880533,animal
A1,6.517671,F,English,correct,4.248495,animal
A1,6.317165,F,English,correct,6.120297,animal
A1,6.086775,F,English,correct,5.541264,animal
A1,6.163315,F,English,correct,2.833213,plant
A1,6.673298,F,English,correct,3.828641,plant
A1,6.434547,F,English,correct,3.332205,plant
A1,6.33328,F,English,correct,3.663562,plant
A1,6.202536,F,English,correct,5.023881,plant
A1,6.111467,F,English,correct,6.098074,animal
A1,6.326149,F,English,correct,6.063785,animal
A1,6.903747,F,English,correct,3.637586,animal
A1,6.306275,F,English,correct,5.117994,animal
A1,6.118097,F,English,correct,6.304449,plant
A1,6.472346,F,English,correct,3.044522,plant
A1,6.697034,F,English,correct,4.682131,animal
A1,6.148468,F,English,correct,7.086738,animal
A1,6.59987,F,English,correct,2.484907,plant
A1,6.775366,F,English,correct,5.347108,animal
A1,6.36647,F,English,correct,3.332205,animal
A1,6.274762,F,English,correct,3.951244,animal
A1,6.023448,F,English,correct,7.77191,animal
A1,6.139885,F,English,correct,5.537334,plant
A1,6.293419,F,English,correct,2.890372,animal
A1,6.021023,F,English,correct,2.70805,animal
A1,6.188264,F,English,correct,6.378426,plant
A1,6.194405,F,English,correct,3.433987,plant
A1,5.899897,F,English,correct,6.59987,animal
A1,6.364751,F,English,correct,5.214936,animal
A1,5.97381,F,English,correct,5.587249,plant
A1,6.037871,F,English,correct,4.962845,animal
A1,5.97381,F,English,correct,4.49981,plant
A1,6.282267,F,English,correct,4.127134,plant
A1,6.040255,F,English,correct,5.783825,animal
A2,6.329721,M,English,correct,7.667626,animal
A2,6.20859,M,English,correct,3.828641,plant
A2,6.270988,M,English,correct,3.951244,animal
A2,6.45047,M,English,correct,4.007333,animal
A2,6.36647,M,English,correct,4.49981,plant
A2,6.293419,M,English,correct,6.109248,animal
A2,6.198479,M,English,correct,5.587249,plant
A2,6.154858,M,English,correct,5.298317,animal
A2,6.20859,M,English,correct,5.541264,animal
A2,6.156979,M,English,correct,4.812184,plant
A2,6.146329,M,English,correct,4.418841,animal
A2,5.942799,M,English,correct,6.228511,animal
A2,5.993961,M,English,incorrect,3.637586,animal
A2,6.167516,M,English,correct,4.844187,animal
A2,6.013715,M,English,correct,3.970292,animal
A2,6.161207,M,English,correct,4.442651,plant
A2,6.146329,M,English,correct,3.044522,plant
A2,6.2106,M,English,correct,5.631212,plant
A2,6.163315,M,English,correct,6.59987,animal
A2,6.831954,M,English,correct,6.098074,animal
A2,6.154858,M,English,incorrect,2.484907,plant
A2,6.2106,M,English,correct,2.70805,animal
A2,6.22059,M,English,correct,4.997212,plant
A2,6.253829,M,English,correct,4.043051,animal
A2,6.082219,M,English,correct,4.859812,animal
A2,6.289716,M,English,correct,3.663562,plant
A2,6.068426,M,English,correct,5.805135,animal
A2,6.152733,M,English,correct,3.044522,plant
A2,6.192362,M,English,correct,5.700444,animal
A2,6.721426,M,English,correct,3.332205,plant
A2,6.222576,M,English,correct,2.890372,animal
A2,6.154858,M,English,correct,5.880533,animal
A2,6.53814,M,English,correct,4.248495,animal
A2,6.025866,M,English,correct,3.433987,plant
A2,5.942799,M,English,correct,4.615121,animal
A2,6.086775,M,English,correct,5.129899,animal
A2,6.20859,M,English,correct,4.454347,plant
A2,6.152733,M,English,correct,5.117994,animal
A2,6.22059,M,English,correct,5.545177,plant
A2,6.280396,M,English,correct,2.833213,plant
A2,6.159095,M,English,correct,1.791759,plant
A2,5.993961,M,English,correct,4.75359,plant
A2,6.641182,M,English,correct,3.044522,animal
A2,6.248043,M,English,correct,4.060443,plant
A2,6.230481,M,English,correct,3.663562,plant
A2,6.163315,M,English,correct,3.332205,animal
A2,5.966147,M,English,correct,7.77191,animal
A2,6.434547,M,English,correct,4.60517,animal
A2,6.077642,M,English,correct,5.347108,animal
A2,5.902633,M,English,correct,5.267858,animal
A2,6.249975,M,English,correct,4.727388,plant
A2,6.095825,M,English,correct,6.120297,animal
A2,6.169611,M,English,correct,5.918894,animal
A2,6.214608,M,English,correct,4.682131,animal
A2,6.345636,M,English,correct,5.783825,animal
A2,6.363028,M,English,correct,5.023881,plant
A2,6.169611,M,English,correct,6.461468,plant
A2,6.278521,M,English,correct,4.976734,plant
A2,6.115892,M,English,correct,6.378426,plant
A2,6.285998,M,English,correct,3.988984,plant
A2,6.251904,M,English,correct,6.577861,animal
A2,6.175867,M,English,correct,4.127134,plant
A2,6.113682,M,English,correct,5.214936,animal
A2,6.284134,M,English,correct,2.995732,animal
A2,6.013715,M,English,correct,2.484907,plant
A2,6.075346,M,English,correct,4.59512,plant
A2,6.104793,M,English,correct,5.537334,plant
A2,5.828946,M,English,incorrect,6.660575,animal
A2,6.522093,M,English,correct,4.70953,animal
A2,6.23637,M,English,correct,6.063785,animal
A2,6.489205,M,English,correct,4.962845,animal
A2,6.700731,M,English,correct,2.079442,plant
A2,6.466145,M,English,correct,4.624973,animal
A2,6.257668,M,English,correct,3.555348,plant
A2,6.315358,M,English,correct,4.204693,plant
A2,6.308098,M,English,correct,5.652489,animal
A2,6.23637,M,English,correct,5.192957,plant
A2,6.198479,M,English,correct,7.086738,animal
A2,6.12905,M,English,correct,6.304449,plant
A3,6.410175,F,Other,correct,4.75359,plant
A3,6.315358,F,Other,correct,4.615121,animal
A3,6.385194,F,Other,correct,4.997212,plant
A3,6.35437,F,Other,correct,3.332205,animal
A3,6.716595,F,Other,correct,2.484907,plant
A3,6.261492,F,Other,correct,5.631212,plant
A3,6.304449,F,Other,correct,3.663562,plant
A3,6.408529,F,Other,correct,5.347108,animal
A3,6.331502,F,Other,correct,6.660575,animal
A3,6.401917,F,Other,correct,5.880533,animal
A3,6.313548,F,Other,correct,3.044522,plant
A3,6.483107,F,Other,correct,4.859812,animal
A3,6.327937,F,Other,correct,3.433987,plant
A3,6.234411,F,Other,correct,5.652489,animal
A3,6.36647,F,Other,correct,6.228511,animal
A3,6.327937,F,Other,correct,4.49981,plant
A3,6.472346,F,Other,correct,4.624973,animal
A3,6.376727,F,Other,correct,5.267858,animal
A3,6.383507,F,Other,correct,1.791759,plant
A3,6.36647,F,Other,correct,2.70805,animal
A3,6.510258,F,Other,correct,4.418841,animal
A3,6.253829,F,Other,correct,5.117994,animal
A3,6.263398,F,Other,correct,3.044522,animal
A3,6.401917,F,Other,correct,2.484907,plant
A3,6.280396,F,Other,correct,3.970292,animal
A3,6.44572,F,Other,correct,3.663562,plant
A3,6.317165,F,Other,correct,4.976734,plant
A3,6.356108,F,Other,correct,4.812184,plant
A3,6.238325,F,Other,correct,6.120297,animal
A3,6.804615,F,Other,correct,3.637586,animal
A3,6.376727,F,Other,correct,5.214936,animal
A3,6.240276,F,Other,correct,3.951244,animal
A3,6.194405,F,Other,correct,5.023881,plant
A3,6.447306,F,Other,correct,7.086738,animal
A3,6.359574,F,Other,correct,6.063785,animal
A3,6.437752,F,Other,correct,4.59512,plant
A3,6.302619,F,Other,correct,4.454347,plant
A3,6.263398,F,Other,correct,6.59987,animal
A3,6.251904,F,Other,correct,4.442651,plant
A3,6.33328,F,Other,correct,6.304449,plant
A3,6.171701,F,Other,correct,5.783825,animal
A3,6.289716,F,Other,correct,4.127134,plant
A3,6.25575,F,Other,correct,3.332205,plant
A3,6.253829,F,Other,correct,6.109248,animal
A3,6.487684,F,Other,correct,2.890372,animal
A3,6.452049,F,Other,correct,4.043051,animal
A3,6.405228,F,Other,correct,5.541264,animal
A3,6.242223,F,Other,correct,6.378426,plant
A3,6.437752,F,Other,correct,4.007333,animal
A3,6.375025,F,Other,correct,4.060443,plant
A3,6.475433,F,Other,correct,4.60517,animal
A3,6.452049,F,Other,correct,5.918894,animal
A3,6.415097,F,Other,correct,5.805135,animal
A3,6.378426,F,Other,correct,5.298317,animal
A3,6.444131,F,Other,correct,2.833213,plant
A3,6.361302,F,Other,correct,5.129899,animal
A3,6.55108,F,Other,correct,5.545177,plant
A3,7.044033,F,Other,correct,4.204693,plant
A3,6.459904,F,Other,correct,4.248495,animal
A3,6.410175,F,Other,correct,5.537334,plant
A3,6.361302,F,Other,correct,6.098074,animal
A3,6.242223,F,Other,correct,7.667626,animal
A3,6.458338,F,Other,correct,4.727388,plant
A3,7.132498,F,Other,correct,3.044522,plant
A3,6.388561,F,Other,correct,5.587249,plant
A3,6.419995,F,Other,correct,5.700444,animal
A3,6.43294,F,Other,correct,2.995732,animal
A3,6.2106,F,Other,correct,6.461468,plant
A3,6.390241,F,Other,correct,3.988984,plant
A3,6.605298,F,Other,correct,4.682131,animal
A3,6.459904,F,Other,correct,3.555348,plant
A3,6.416732,F,Other,correct,4.70953,animal
A3,6.495266,F,Other,correct,6.577861,animal
A3,6.278521,F,Other,correct,3.828641,plant
A3,6.421622,F,Other,correct,7.77191,animal
A3,6.434547,F,Other,correct,4.844187,animal
A3,6.466145,F,Other,correct,5.192957,plant
A3,6.44254,F,Other,correct,2.079442,plant
A3,6.380123,F,Other,correct,4.962845,animal
C,6.533789,F,English,correct,4.248495,animal
C,6.53814,F,English,correct,6.109248,animal
C,6.246107,F,English,correct,3.044522,plant
C,6.416732,F,English,correct,3.433987,plant
C,6.284134,F,English,correct,4.418841,animal
C,6.473891,F,English,correct,5.023881,plant
C,6.269096,F,English,correct,5.298317,animal
C,6.398595,F,English,correct,5.541264,animal
C,6.196444,F,English,correct,5.880533,animal
C,6.33328,F,English,correct,6.59987,animal
C,6.173786,F,English,correct,5.783825,animal
C,6.173786,F,English,correct,4.682131,animal
C,6.180017,F,English,correct,7.086738,animal
C,6.386879,F,English,correct,1.791759,plant
C,6.499787,F,English,correct,2.079442,plant
C,6.173786,F,English,correct,5.918894,animal
C,6.070738,F,English,correct,5.700444,animal
C,6.304449,F,English,correct,4.844187,animal
C,6.20859,F,English,correct,3.970292,animal
