"","Response","Context","Subject","Item","Rater","ContextIPA"
"1","4","n-3","p04","noo3-w","R02","n-<U+0295>"
"2","4","isolation","p04","noo3-v","R02","Isolation"
"3","4","o-3","p04","djuu3-w","R02","o-<U+0295>"
"4","3","isolation","p04","djuu3-v","R02","Isolation"
"5","3","n-7","p04","nuu7-w","R02","n-h"
"6","4","isolation","p04","nuu7-v","R02","Isolation"
"7","2","3--3","p04","3oo3-w","R02","<U+0295>-<U+0295>"
"8","3","isolation","p04","3oo3-v","R02","Isolation"
"9","2","o-7","p04","loo7-w","R02","o-h"
"10","4","o-3","p04","bii3-w","R02","o-<U+0295>"
"11","3","isolation","p04","bii3-v","R02","Isolation"
"12","4","o-7","p04","zii7-w","R02","o-h"
"13","5","o-o","p04","daas-w","R02","o-o"
"14","5","n-o","p04","maat-w","R02","n-o"
"15","5","isolation","p04","maat-v","R02","Isolation"
"16","4","7-n","p04","7en-w","R02","h-n"
"17","5","o-n","p04","diin-w","R02","o-n"
"18","3","o-7","p04","zaa7-w","R02","o-h"
"19","4","n-7","p04","naa7-w","R02","n-h"
"20","4","isolation","p04","naa7-v","R02","Isolation"
"21","5","n-n","p04","naam-w","R02","n-n"
"22","5","isolation","p04","naam-v","R02","Isolation"
"23","5","o-n","p04","doom-w","R02","o-n"
"24","4","isolation","p04","doom-v","R02","Isolation"
"25","5","3-n","p04","3oon-w","R02","<U+0295>-n"
"26","5","n-n","p04","noom-w","R02","n-n"
"27","5","n-n","p04","muun-w","R02","n-n"
"28","4","n-o","p04","muus-w","R02","n-o"
"29","5","n-o","p04","mooz-w","R02","n-o"
"30","3","7-o","p04","7ook-w","R02","h-o"
"31","5","7-n","p04","7oom-w","R02","h-n"
"32","4","3-o","p04","3aaf-w","R02","<U+0295>-o"
"33","2","3-o","p04","3eeb-w","R02","<U+0295>-o"
"34","2","isolation","p04","3eeb-v","R02","Isolation"
"35","5","3-n","p04","3aam-w","R02","<U+0295>-n"
"36","4","7-o","p04","7aad-w","R02","h-o"
"37","5","3-n","p04","3een-w","R02","<U+0295>-n"
"38","4","3-o","p04","3iish-w","R02","<U+0295>-o"
"39","4","7-o","p04","7eef-w","R02","h-o"
"40","3","isolation","p04","7eef-v","R02","Isolation"
"41","4","o-n","p04","saam-w","R02","o-n"
"42","2","isolation","p04","saam-v","R02","Isolation"
"43","3","o-3","p04","baa3-w","R02","o-<U+0295>"
"44","4","o-o","p04","beet-w","R02","o-o"
"45","4","o-o","p04","boosh-w","R02","o-o"
"46","5","n-3","p01","noo3-w","R02","n-<U+0295>"
"47","1","isolation","p01","noo3-v","R02","Isolation"
"48","2","o-o","p01","daas-w","R02","o-o"
"49","5","n-o","p01","maat-w","R02","n-o"
"50","3","isolation","p01","maat-v","R02","Isolation"
"51","3","7-n","p01","7en-w","R02","h-n"
"52","4","o-n","p01","diin-w","R02","o-n"
"53","2","o-7","p01","zaa7-w","R02","o-h"
"54","3","o-3","p01","djuu3-w","R02","o-<U+0295>"
"55","2","isolation","p01","djuu3-v","R02","Isolation"
"56","4","n-7","p01","nuu7-w","R02","n-h"
